model,scenario,region,variable,unit,subannual,2010,2015,2020,2025,2030,2035,2040,2045,2050
REMES:EU 1.0,Reference,       Spain,Product Price Index|pTRDI       ,index,Year,        1.00,        0.98,        0.96,        0.94,        0.91,        0.88,        0.84,        0.82,        0.80
REMES:EU 1.0,Reference,       Spain,Product Price Index|pHTWT       ,index,Year,        1.00,        0.99,        0.97,        1.11,        1.15,        1.21,        1.28,        1.35,        1.43
REMES:EU 1.0,Reference,       Spain,Product Price Index|pCHEA       ,index,Year,        1.00,        1.02,        1.03,        1.02,        1.05,        1.07,        1.11,        1.13,        1.15
REMES:EU 1.0,Reference,       Spain,Product Price Index|pCONS       ,index,Year,        1.00,        1.01,        1.01,        1.01,        1.02,        1.03,        1.04,        1.05,        1.05
REMES:EU 1.0,Reference,     Finland,Product Price Index|pOIL        ,index,Year,        1.00,        1.00,        1.00,        1.03,        1.02,        1.02,        1.02,        1.02,        1.01
REMES:EU 1.0,Reference,     Finland,Product Price Index|pGSL        ,index,Year,        1.00,        0.99,        0.99,        1.03,        1.04,        1.07,        1.11,        1.15,        1.21
REMES:EU 1.0,Reference,     Finland,Product Price Index|pDSL        ,index,Year,        1.00,        0.99,        0.98,        1.04,        1.04,        1.03,        1.03,        1.01,        0.98
REMES:EU 1.0,Reference,     Finland,Product Price Index|pHDI        ,index,Year,        1.00,        0.99,        0.98,        0.99,        0.99,        0.99,        0.98,        0.98,        0.97
REMES:EU 1.0,Reference,     Finland,Product Price Index|pNG         ,index,Year,        1.00,        0.99,        0.99,        1.05,        1.05,        1.04,        1.03,        1.02,        0.99
REMES:EU 1.0,Reference,     Finland,Product Price Index|pCOA        ,index,Year,        1.00,        0.99,        0.98,        0.98,        0.97,        0.95,        0.93,        0.90,        0.86
REMES:EU 1.0,Reference,     Finland,Product Price Index|pBIO        ,index,Year,        1.00,        0.98,        0.96,        0.93,        0.91,        0.90,        0.90,        0.89,        0.90
REMES:EU 1.0,Reference,     Finland,Product Price Index|pFUL        ,index,Year,        1.00,        0.99,        0.98,        1.04,        1.04,        1.05,        1.07,        1.09,        1.11
REMES:EU 1.0,Reference,     Finland,Product Price Index|pH2         ,index,Year,        1.00,        1.00,        0.99,        0.97,        0.96,        0.95,        0.95,        0.94,        0.94
